country,date,doing_business,gdppc
"Bahamas, The",1992-01-01,,27519.3026804507
"Bahamas, The",1991-01-01,,29164.3983210033
"Bahamas, The",1990-01-01,,31005.636485491
"Bahamas, The",1989-01-01,,
"Bahamas, The",1988-01-01,,
"Bahamas, The",1987-01-01,,
"Bahamas, The",1986-01-01,,
"Bahamas, The",1985-01-01,,
"Bahamas, The",1984-01-01,,
"Bahamas, The",1983-01-01,,
"Bahamas, The",1982-01-01,,
"Bahamas, The",1981-01-01,,
"Bahamas, The",1980-01-01,,
"Bahamas, The",1979-01-01,,
"Bahamas, The",1978-01-01,,
"Bahamas, The",1977-01-01,,
"Bahamas, The",1976-01-01,,
"Bahamas, The",1975-01-01,,
"Bahamas, The",1974-01-01,,
"Bahamas, The",1973-01-01,,
"Bahamas, The",1972-01-01,,
"Bahamas, The",1971-01-01,,
"Bahamas, The",1970-01-01,,
"Bahamas, The",1969-01-01,,
"Bahamas, The",1968-01-01,,
"Bahamas, The",1967-01-01,,
"Bahamas, The",1966-01-01,,
"Bahamas, The",1965-01-01,,
"Bahamas, The",1964-01-01,,
"Bahamas, The",1963-01-01,,
"Bahamas, The",1962-01-01,,
"Bahamas, The",1961-01-01,,
"Bahamas, The",1960-01-01,,
Bermuda,2019-01-01,,
Bermuda,2018-01-01,,
Bermuda,2017-01-01,,
Bermuda,2016-01-01,,
Bermuda,2015-01-01,,
Bermuda,2014-01-01,,
Bermuda,2013-01-01,,50669.3147696996
Bermuda,2012-01-01,,52137.3003731125
Bermuda,2011-01-01,,54984.5103947777
Bermuda,2010-01-01,,56395.0078003539
Bermuda,2009-01-01,,57151.9191321066
Bermuda,2008-01-01,,60675.9820859495
Bermuda,2007-01-01,,60117.4599095649
Bermuda,2006-01-01,,58784.5932914465
Bermuda,2005-01-01,,56017.19161965
Bermuda,2004-01-01,,55452.6388804958
Bermuda,2003-01-01,,54549.8011627024
Bermuda,2002-01-01,,53096.9254922092
Bermuda,2001-01-01,,54245.1496398132
Bermuda,2000-01-01,,51140.236844667
Bermuda,1999-01-01,,47199.8414462497
Bermuda,1998-01-01,,45911.6864997413
Bermuda,1997-01-01,,44514.1094159639
Bermuda,1996-01-01,,42816.9632444088
Bermuda,1995-01-01,,41999.2594636705
Bermuda,1994-01-01,,40518.4078179105
Bermuda,1993-01-01,,40557.2201557525
Bermuda,1992-01-01,,39584.3298590314
Bermuda,1991-01-01,,39322.1091825364
Bermuda,1990-01-01,,40553.2585214927
Bermuda,1989-01-01,,
Bermuda,1988-01-01,,
Bermuda,1987-01-01,,
Bermuda,1986-01-01,,
Bermuda,1985-01-01,,
Bermuda,1984-01-01,,
Bermuda,1983-01-01,,
Bermuda,1982-01-01,,
Bermuda,1981-01-01,,
Bermuda,1980-01-01,,
Bermuda,1979-01-01,,
Bermuda,1978-01-01,,
Bermuda,1977-01-01,,
Bermuda,1976-01-01,,
Bermuda,1975-01-01,,
Bermuda,1974-01-01,,
Bermuda,1973-01-01,,
Bermuda,1972-01-01,,
Bermuda,1971-01-01,,
Bermuda,1970-01-01,,
Bermuda,1969-01-01,,
Bermuda,1968-01-01,,
Bermuda,1967-01-01,,
Bermuda,1966-01-01,,
Bermuda,1965-01-01,,
Bermuda,1964-01-01,,
Bermuda,1963-01-01,,
Bermuda,1962-01-01,,
Bermuda,1961-01-01,,
Bermuda,1960-01-01,,
Barbados,2019-01-01,57.90615,
Barbados,2018-01-01,57.6745,16463.5174338393
Barbados,2017-01-01,57.67127,16569.5722629089
Barbados,2016-01-01,57.76071,16623.6781993755
Barbados,2015-01-01,57.67895,16280.151289403
Barbados,2014-01-01,,15956.8433559552
Barbados,2013-01-01,,16013.6490442293
Barbados,2012-01-01,,16270.0942516325
Barbados,2011-01-01,,16321.9834236748
Barbados,2010-01-01,,16502.6520667464
Barbados,2009-01-01,,16930.3997517225
Barbados,2008-01-01,,17868.7194128323
Barbados,2007-01-01,,17786.342161742
Barbados,2006-01-01,,17538.7784643158
Barbados,2005-01-01,,16667.2618376457
Barbados,2004-01-01,,16093.5935478565
Barbados,2003-01-01,,15924.8243083373
Barbados,2002-01-01,,15637.2888819282
Barbados,2001-01-01,,15567.7885749064
Barbados,2000-01-01,,16002.8059256608
Barbados,1999-01-01,,15381.7098670997
Barbados,1998-01-01,,15393.8708067027
Barbados,1997-01-01,,14904.1279571366
Barbados,1996-01-01,,14290.2669823573
Barbados,1995-01-01,,13800.2845148441
Barbados,1994-01-01,,13582.0695369583
Barbados,1993-01-01,,13365.7628850334
Barbados,1992-01-01,,13310.4344095139
Barbados,1991-01-01,,14166.7347290065
Barbados,1990-01-01,,14796.3890544715
Barbados,1989-01-01,,
Barbados,1988-01-01,,
Barbados,1987-01-01,,
Barbados,1986-01-01,,
Barbados,1985-01-01,,
Barbados,1984-01-01,,
Barbados,1983-01-01,,
Barbados,1982-01-01,,
Barbados,1981-01-01,,
Barbados,1980-01-01,,
Barbados,1979-01-01,,
Barbados,1978-01-01,,
Barbados,1977-01-01,,
Barbados,1976-01-01,,
Barbados,1975-01-01,,
Barbados,1974-01-01,,
Barbados,1973-01-01,,
Barbados,1972-01-01,,
Barbados,1971-01-01,,
Barbados,1970-01-01,,
Barbados,1969-01-01,,
Barbados,1968-01-01,,
Barbados,1967-01-01,,
Barbados,1966-01-01,,
Barbados,1965-01-01,,
Barbados,1964-01-01,,
Barbados,1963-01-01,,
Barbados,1962-01-01,,
Barbados,1961-01-01,,
Barbados,1960-01-01,,
Brunei Darussalam,2019-01-01,70.06387,
Brunei Darussalam,2018-01-01,69.63482,71802.2717197874
Brunei Darussalam,2017-01-01,67.68007,72523.7294463439
Brunei Darussalam,2016-01-01,62.85225,72369.5233674193
Brunei Darussalam,2015-01-01,57.45747,75073.9365712816
Brunei Darussalam,2014-01-01,,76448.5933286697
Brunei Darussalam,2013-01-01,,79323.4374535226
Brunei Darussalam,2012-01-01,,82149.9097964176
Brunei Darussalam,2011-01-01,,82502.9352973488
Brunei Darussalam,2010-01-01,,80556.1807175419
Brunei Darussalam,2009-01-01,,79485.0015805958
Brunei Darussalam,2008-01-01,,81869.1760781014
Brunei Darussalam,2007-01-01,,84480.7770109541
Brunei Darussalam,2006-01-01,,85421.5590866792
Brunei Darussalam,2005-01-01,,82977.1111560941
Brunei Darussalam,2004-01-01,,83963.2380663136
Brunei Darussalam,2003-01-01,,84993.8245553396
Brunei Darussalam,2002-01-01,,84146.0606385298
Brunei Darussalam,2001-01-01,,82616.9375328356
Brunei Darussalam,2000-01-01,,82068.2976162848
Brunei Darussalam,1999-01-01,,81495.8832320835
Brunei Darussalam,1998-01-01,,80833.0879924194
Brunei Darussalam,1997-01-01,,83159.5438876726
Brunei Darussalam,1996-01-01,,86433.8070082535
Brunei Darussalam,1995-01-01,,86138.6253791603
Brunei Darussalam,1994-01-01,,84627.927816406
Brunei Darussalam,1993-01-01,,84311.3134736275
Brunei Darussalam,1992-01-01,,86445.6867488517
Brunei Darussalam,1991-01-01,,84900.1982264864
Brunei Darussalam,1990-01-01,,84693.3369699
Brunei Darussalam,1989-01-01,,
Brunei Darussalam,1988-01-01,,
Brunei Darussalam,1987-01-01,,
Brunei Darussalam,1986-01-01,,
Brunei Darussalam,1985-01-01,,
Brunei Darussalam,1984-01-01,,
Brunei Darussalam,1983-01-01,,
Brunei Darussalam,1982-01-01,,
Brunei Darussalam,1981-01-01,,
Brunei Darussalam,1980-01-01,,
Brunei Darussalam,1979-01-01,,
Brunei Darussalam,1978-01-01,,
Brunei Darussalam,1977-01-01,,
Brunei Darussalam,1976-01-01,,
Brunei Darussalam,1975-01-01,,
Brunei Darussalam,1974-01-01,,
Brunei Darussalam,1973-01-01,,
Brunei Darussalam,1972-01-01,,
Brunei Darussalam,1971-01-01,,
Brunei Darussalam,1970-01-01,,
Brunei Darussalam,1969-01-01,,
Brunei Darussalam,1968-01-01,,
Brunei Darussalam,1967-01-01,,
Brunei Darussalam,1966-01-01,,
Brunei Darussalam,1965-01-01,,
Brunei Darussalam,1964-01-01,,
Brunei Darussalam,1963-01-01,,
Brunei Darussalam,1962-01-01,,
Brunei Darussalam,1961-01-01,,
Brunei Darussalam,1960-01-01,,
Canada,2019-01-01,79.64043,
Canada,2018-01-01,79.6798,44078.0655956361
Canada,2017-01-01,79.30059,43871.4023481712
Canada,2016-01-01,79.54094,43110.7012156823
Canada,2015-01-01,79.75597,43124.2111029626
Canada,2014-01-01,,43149.576424843
Canada,2013-01-01,,42370.1937248041
Canada,2012-01-01,,41845.1810599859
Canada,2011-01-01,,41569.449617197
Canada,2010-01-01,,40697.581661958
Canada,2009-01-01,,39919.303656524
Canada,2008-01-01,,41595.7885805239
Canada,2007-01-01,,41629.2146998757
Canada,2006-01-01,,39333.7767608996
Canada,2005-01-01,,38144.1769632781
Canada,2004-01-01,,36673.9625746703
Canada,2003-01-01,,35623.428301332
Canada,2002-01-01,,34626.3386835126
Canada,2001-01-01,,33846.6548869067
